AREA,PERIMETER,HISTLU_CPE,HISTLU_C_1,POT_LU,LU1885,LU1912,LU1945,LU1977,LU2004,DIST
2796550.500000000000000,11708.361000000000786,502.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Irrigated,2.000000000000000
1245141.625000000000000,5008.617000000000189,503.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Irrigated,3.000000000000000
186287.530999999988126,2179.518000000000029,504.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Urban,Urban,2.000000000000000
1106829.625000000000000,5725.641999999999825,505.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Urban,Urban,2.000000000000000
153397.108999999996740,4053.101000000000113,506.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Urban,Irrigated,2.000000000000000
561988.062999999965541,3575.833000000000084,507.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Grassland,Grassland,1.000000000000000
195152.921999999991385,2383.518000000000029,508.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Grassland,Irrigated,2.000000000000000
922748.125000000000000,4588.074999999999818,509.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Grassland,Grassland,1.000000000000000
699397.937999999965541,5456.668999999999869,510.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Irrigated,1.000000000000000
186647.141000000003260,2687.568999999999960,511.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Grassland,2.000000000000000
329816.563000000023749,2615.998000000000047,512.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Urban,3.000000000000000
545829.750000000000000,3064.282000000000153,513.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Irrigated,3.000000000000000
331844.406000000017229,2382.682999999999993,514.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Grassland,2.000000000000000
