AREA,LU1885,LU1945,POT_LU,Shape__Area,Shape__Length
2796550.500000000000000,Grassland,Grassland,Grassland,4497517.179687500000000,14846.172190979616062
1245141.625000000000000,Grassland,Irrigated,Grassland,2002702.664062500000000,6352.195513276168640
186287.530999999988126,Grassland,Grassland,Grassland,299673.921875000000000,2763.695464416402046
1106829.625000000000000,Grassland,Grassland,Grassland,1780343.527343750000000,7261.526874235845753
153397.108999999996740,Grassland,Grassland,Grassland,246725.042968750000000,5141.230937855441880
561988.062999999965541,Grassland,Irrigated,Grassland,903782.773437500000000,4535.388405496091764
195152.921999999991385,Grassland,Irrigated,Grassland,313870.675781250000000,3022.262921030480811
922748.125000000000000,Grassland,Irrigated,Grassland,1483972.546875000000000,5817.829345225489305
699397.937999999965541,Grassland,Grassland,Grassland,1125024.738281250000000,6921.185266485365901
186647.141000000003260,Grassland,Irrigated,Grassland,300212.390625000000000,3408.853696550168024
329816.563000000023749,Grassland,Irrigated,Grassland,530434.023437500000000,3317.099909072167520
545829.750000000000000,Grassland,Irrigated,Grassland,877755.027343750000000,3886.206510604810319
331844.406000000017229,Grassland,Irrigated,Grassland,533649.707031250000000,3022.060403649320051
428542.938000000023749,Grassland,Irrigated,Grassland,689217.136718750000000,5902.309493905032468
277692.563000000023749,Grassland,Irrigated,Grassland,446559.281250000000000,3174.389988525912941
321291.781000000017229,Grassland,Irrigated,Grassland,516593.453125000000000,5178.437452301281155
14506420.000000000000000,Wetlands,Irrigated,Wetlands,23322662.656250000000000,24634.043744956048613
811356.937999999965541,Grassland,Grassland,Grassland,1304931.621093750000000,8683.971146971667622
249983.141000000003260,Grassland,Irrigated,Grassland,402001.996093750000000,2832.723591024127927
45275852.000000000000000,Wetlands,Irrigated,Wetlands,72742723.984375000000000,52972.283894705098646
121441.804999999993015,Grassland,Irrigated,Grassland,195296.652343750000000,2207.847782334688873
779202.875000000000000,Grassland,Grassland,Grassland,1253194.976562500000000,16602.290811599126755
1183934.250000000000000,Grassland,Grassland,Grassland,1904194.011718750000000,8481.142829542723121
298886.968999999982771,Grassland,Grassland,Grassland,480701.425781250000000,3587.220593227043992
176072.328000000008615,Grassland,Grassland,Grassland,283199.050781250000000,3864.486141500802660
297849.500000000000000,Wetlands,Irrigated,Wetlands,478988.730468750000000,5182.889127216621091
1991353.000000000000000,Grassland,Grassland,Grassland,3202592.738281250000000,9855.321141987642477
235006.500000000000000,Grassland,Grassland,Grassland,377849.261718750000000,3561.671637275117064
1091578.125000000000000,Grassland,Grassland,Grassland,1755469.984375000000000,6587.103132079541865
273362.781000000017229,Grassland,Grassland,Grassland,439504.871093750000000,4036.371818831000382
625397.937999999965541,Grassland,Grassland,Grassland,1005792.613281250000000,3977.834564192325161
547590.062999999965541,Grassland,Irrigated,Grassland,880591.464843750000000,7507.648328269204285
118499.702999999994063,Grassland,Irrigated,Grassland,190538.824218750000000,2187.858981501703056
